,Baseline_RT,Baseline_TTL,RI_RT,RI_False_Alarms,Shifting_Congruent_RT,Shifting_Congruent_Accuracy,Shifting_Congruent_FA,Shifting_Incongruent_Accuracy,Shifting_Incongruent_FA,Total_Errors,CogInhib_Incongruent_Accuracy,CogInhib_Incongruent_RT,Conflict_Resolution_Accuracy,Conflict_Resolution_RT,WM_Hits,WM_FA,WM_PR,Min_moves_exit,n_Attempts,WM_Return_Efficiency,VAS_cold,VAS_hot,STAI_cold,STAI_hot,VAS,STAI
23,-0.759265545,-1.272094269,-0.421735401,0.214947196,-0.394595204,0,,0.108264894,0.272165527,0.272165527,0.028849795,-1.545253235,-0.316227766,-0.068967972,,0.35838578,-0.35838578,0,,-0.353899164,0.04,0.15,-0.041666667,0.125,0.31,0.166666667
24,0.389177378,0.858567598,2.197374707,0.519948087,1.907238948,0.063875231,-0.534522484,-1.051756646,0.534522484,0,-0.259786014,1.238708897,0,0.139776967,0.298130935,0.67032142,-0.203482616,0,0.816496581,-0.419809218,0,0.2,0.166666667,0.291666667,0.1,0.125
25,-0.999149598,-1.190810534,-0.889295078,-0.058269706,-0.266057939,-0.186318607,,0.102328902,,,0.119149362,-1.343051743,0,-0.41571617,0.534522484,1.045865722,0.383931927,0,0.534522484,-0.776746375,-0.03,0.25,0.125,0.125,0.34,0.416666667
26,1.12319288,-0.099175871,-0.627965021,0.913038585,0.645519662,-0.057398528,0.534522484,-0.203821065,0.534522484,0.816496581,-0.171060744,1.077499982,-0.223606798,0.218570463,,0.389409076,-0.389409076,0,,-0.431350545,0.02,0.9,-0.166666667,0.583333333,0.88,0.666666667
27,-1.683464409,-2.414981613,-0.951948228,-0.445861696,0.096075366,0.167123787,-0.534522484,-0.534522484,0.534522484,0,0.027563843,-0.814775468,0,-0.224981717,-0.534522484,-0.580318671,0.553848776,0,,0.522941699,-0.24,-0.21,-0.083333333,-0.166666667,0.35,0.083333333
28,0.000554133,1.319154587,1.981694502,-0.54727742,2.064748397,-0.109594187,-0.534522484,0.124449259,-0.458831468,-0.67936622,0.467394129,1.233749663,0,0.239160167,0.534522484,0.778791558,0.462970274,0,0.534522484,-0.645200851,0.01,0.02,0,0,0.01,0
29,-1.466493984,-1.66098873,-0.786842322,0.100245865,-1.683360896,0,,0.778791558,-0.816496581,-0.816496581,-0.018633554,-0.658257325,0,-0.087042317,0.534522484,0.809858287,0.433797271,0,0.534522484,-0.676629439,0.01,0.04,0.041666667,0.041666667,0.03,0
30,2.237532159,3.679757379,0.816828147,-0.092948065,1.467497027,-0.065441999,,-0.092915233,0.458831468,0.458831468,-0.032258065,0.841695221,0.223606798,0.305230571,0.787685968,0.592655604,0.848021126,0,0.816496581,-0.732833575,0.07,0.19,-0.041666667,0.166666667,-0.06,-0.208333333
31,-1.765509867,-2.016436586,-0.975268493,-0.009312936,-1.314906044,0.042987373,0,0.121078739,-0.159111457,-0.148249863,-0.485785174,-1.209280725,0,-0.146249654,,0.094327497,-0.094327497,0,,-0.012477114,-0.07,0.01,-0.083333333,0.041666667,-0.02,-0.208333333
32,-2.052713947,-1.577718288,-0.648140492,0.142724293,-0.468317167,-0.018953028,,0.83451091,-0.839181358,-0.839181358,0.241377005,-1.223995866,0.223606798,-0.02784333,-0.590812759,-0.661437828,-0.527361094,0,-0.534522484,0.724067775,-0.2,-0.05,-0.166666667,0.041666667,-0.35,-0.125
33,-0.943121089,-1.034041856,-0.588802786,-0.332956601,-0.834897384,-0.074082077,,0.085696536,-0.417028828,-0.417028828,-0.100040024,-0.692577097,0.424264069,-0.314845888,-1.03251116,-0.682949401,-0.066299354,0,,0.793927807,0.35,0.37,0.333333333,0.583333333,-0.04,0.25
34,0.863696709,0.580828412,0.217769058,-1.278148222,1.302922811,-0.056303768,,-0.441634949,0.324442842,0.324442842,0.055165669,0.941690814,-0.316227766,0.230258715,-0.534522484,-0.468230043,-0.522860675,0,-0.534522484,0.505267014,-0.08,0.21,-0.125,0.041666667,0.13,-0.083333333
35,-1.718881052,0.071273981,-0.253864187,-0.62207792,-0.288035937,0.224028434,,0.216788812,0.118262479,0.118262479,-0.059961173,-1.565613965,0.316227766,-0.18633659,-0.261934185,-0.390623775,-0.14521026,0,-0.239045722,0.195797331,0,0.3,-0.041666667,0.208333333,0.3,0.166666667
36,-0.269117072,-0.017143369,1.059029715,0.161282564,0.949278566,-0.027720255,0,0.061724828,0,0,-0.564018775,1.90107298,0,0.230252268,0.239045722,-0.008226409,0.249443176,0,0.239045722,-0.033400378,0.01,0.01,-0.041666667,-0.125,0,0.25
37,1.460436145,1.628208383,0.992116481,-0.415632422,1.382490169,-0.091540884,0.816496581,-0.216788812,0,0.458831468,0.164540156,1.374328802,0,0.259327289,0.066545516,-0.005890767,0.097193728,0,-0.239045722,0.320668595,-0.01,0,0,0.166666667,0.01,0
38,-0.519069722,-0.110084259,2.272213846,-0.304842971,0.741510929,-0.062360447,,-0.800055369,0.534522484,0.534522484,-0.247024257,0.510949047,0,-0.047921497,,0.324442842,-0.324442842,0,-0.534522484,-0.324442842,0.08,0.26,0.041666667,0.166666667,0.18,0.291666667
39,1.626556329,1.027501377,0.428749545,0.104892451,-0.259502211,0,,0.534522484,-0.534522484,-0.534522484,-0.040283141,2.060062927,0,0.341954184,,-0.946938065,0.946938065,0,,0.944096638,0,0.11,-0.25,0.333333333,0.11,0.25
40,-2.761473973,-2.934941478,-0.870479023,-0.2130262,-0.859143381,-0.047446147,,0,,,0.032233887,-0.800737507,0,-0.055697772,,0,0,0,,0,-0.03,-0.04,0.041666667,0,0.05,0.208333333
41,1.039290266,2.653045874,1.183922167,0.280215036,1.899836761,-0.008724039,0.795557284,-0.663970289,0.580318671,0.745643719,0.404839823,1.233726219,0,0.314873208,,0.596388343,-0.596388343,0,-0.534522484,-0.542894643,0.1,0.01,0.083333333,0.25,-0.09,-0.333333333
42,0.231463263,-0.067019381,-0.113488738,-0.183167914,-0.021724079,0.037456073,-0.324442842,-0.276608277,0.676123404,0.43528575,-0.008269481,1.334993249,0.223606798,0.2228319,,0.514027422,-0.514027422,0,0.534522484,-0.47410253,0,0.03,0.208333333,-0.041666667,0.03,-0.166666667
43,1.499874039,2.729044881,1.945869739,0.602720648,2.301175388,0.143107498,-0.534522484,0.534522484,-0.534522484,-0.534522484,0.061755413,1.811120117,0,0.363863317,-0.534522484,-0.648462728,0.537227422,0,,0.662761418,0,0.27,0.041666667,0.208333333,0.13,0
